SECURITY_ID,EXCH_ID,SEGMENT,INSTRUMENT,SYMBOL_NAME,DISPLAY_NAME,UNDERLYING_SYMBOL,UNDERLYING_SECURITY_ID,STRIKE_PRICE,OPTION_TYPE,LOT_SIZE,TICK_SIZE
1100042,BSE,D,OPTIDX,BSXOPT,SENSEX 08 OCT 84600 PUT,SENSEX,1.0,84600.0,PE,20.0,5.0
1100470,BSE,D,OPTIDX,BSXOPT,SENSEX 24 SEP 68000 CALL,SENSEX,1.0,68000.0,CE,20.0,5.0
1100722,BSE,D,OPTIDX,SX50OPT,SENSEX50 26 NOV 25500 PUT,SENSEX50,47.0,25500.0,PE,75.0,5.0
1100737,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 82200 CALL,SENSEX,1.0,82200.0,CE,20.0,5.0
1100742,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 70800 PUT,SENSEX,1.0,70800.0,PE,20.0,5.0
1100745,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 75200 CALL,SENSEX,1.0,75200.0,CE,20.0,5.0
1100760,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 77500 CALL,SENSEX,1.0,77500.0,CE,20.0,5.0
1100766,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 79800 CALL,SENSEX,1.0,79800.0,CE,20.0,5.0
1100783,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 82200 PUT,SENSEX,1.0,82200.0,PE,20.0,5.0
1100833,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 80800 CALL,SENSEX,1.0,80800.0,CE,20.0,5.0
1100837,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 71500 CALL,SENSEX,1.0,71500.0,CE,20.0,5.0
1100845,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 73800 CALL,SENSEX,1.0,73800.0,CE,20.0,5.0
1100871,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 80800 PUT,SENSEX,1.0,80800.0,PE,20.0,5.0
1100925,BSE,D,OPTIDX,SX50OPT,SENSEX50 26 NOV 25250 PUT,SENSEX50,47.0,25250.0,PE,75.0,5.0
1100929,BSE,D,FUTIDX,BSXFUT,SENSEX NOV  FUT,SENSEX,1.0,0.0,,20.0,5.0
1100944,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 76200 PUT,SENSEX,1.0,76200.0,PE,20.0,5.0
1100949,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 78500 PUT,SENSEX,1.0,78500.0,PE,20.0,5.0
1100989,BSE,D,OPTIDX,SX50OPT,SENSEX50 26 NOV 26100 PUT,SENSEX50,47.0,26100.0,PE,75.0,5.0
1101001,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 70200 PUT,SENSEX,1.0,70200.0,PE,20.0,5.0
1101010,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 72500 PUT,SENSEX,1.0,72500.0,PE,20.0,5.0
1101013,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 74800 PUT,SENSEX,1.0,74800.0,PE,20.0,5.0
1101023,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 78100 CALL,SENSEX,1.0,78100.0,CE,20.0,5.0
1101100,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 72100 CALL,SENSEX,1.0,72100.0,CE,20.0,5.0
1101110,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 74400 CALL,SENSEX,1.0,74400.0,CE,20.0,5.0
1101136,BSE,D,OPTIDX,BSXOPT,SENSEX 15 OCT 82500 PUT,SENSEX,1.0,82500.0,PE,20.0,5.0
1101172,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 77800 PUT,SENSEX,1.0,77800.0,PE,20.0,5.0
1101186,BSE,D,OPTIDX,SX50OPT,SENSEX50 26 NOV 25400 CALL,SENSEX50,47.0,25400.0,CE,75.0,5.0
1101220,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 82100 CALL,SENSEX,1.0,82100.0,CE,20.0,5.0
1101285,BSE,D,OPTIDX,BSXOPT,SENSEX 26 NOV 80700 CALL,SENSEX,1.0,80700.0,CE,20.0,5.0
1101299,BSE,D,OPTIDX,BSXOPT,SENSEX 08 OCT 69900 PUT,SENSEX,1.0,69900.0,PE,20.0,5.0
1101321,BSE,D,OPTIDX,SX50OPT,SENSEX50 26 NOV 25150 CALL,SENSEX50,47.0,25150.0,CE,75.0,5.0
