local_time,local_ns,monotonic_ns,packet_type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,OI,depth_json
13:26:03.361,1789113363361678500,2626302845131100,Ticker Data,0,51,74506.57,,13:26:03,,,,,,
13:26:03.362,1789113363362491800,2626302845944100,Previous Close,0,51,,,,,,,,,
13:26:03.421,1789113363421923700,2626302905376000,Full Data,8,875758,511.75,20,13:26:03,476.99,9996600,92960,535800,590000,"[{""bid_quantity"":100,""ask_quantity"":520,""bid_orders"":4,""ask_orders"":2,""bid_price"":""511.50"",""ask_price"":""512.50""},{""bid_quantity"":100,""ask_quantity"":500,""bid_orders"":5,""ask_orders"":1,""bid_price"":""511.45"",""ask_price"":""512.65""},{""bid_quantity"":60,""ask_quantity"":80,""bid_orders"":3,""ask_orders"":3,""bid_price"":""511.35"",""ask_price"":""512.80""},{""bid_quantity"":40,""ask_quantity"":160,""bid_orders"":2,""ask_orders"":4,""bid_price"":""511.30"",""ask_price"":""512.85""},{""bid_quantity"":80,""ask_quantity"":140,""bid_orders"":2,""ask_orders"":3,""bid_price"":""511.25"",""ask_price"":""512.95""}]"
13:26:03.618,1789113363618438000,2626303101890000,Full Data,8,862237,355.15,80,13:26:03,421.22,8496540,150440,112700,780120,"[{""bid_quantity"":60,""ask_quantity"":100,""bid_orders"":3,""ask_orders"":4,""bid_price"":""354.15"",""ask_price"":""355.05""},{""bid_quantity"":60,""ask_quantity"":240,""bid_orders"":3,""ask_orders"":7,""bid_price"":""354.10"",""ask_price"":""355.10""},{""bid_quantity"":60,""ask_quantity"":120,""bid_orders"":3,""ask_orders"":4,""bid_price"":""354.05"",""ask_price"":""355.15""},{""bid_quantity"":140,""ask_quantity"":140,""bid_orders"":5,""ask_orders"":4,""bid_price"":""354.00"",""ask_price"":""355.20""},{""bid_quantity"":140,""ask_quantity"":80,""bid_orders"":4,""ask_orders"":3,""bid_price"":""353.95"",""ask_price"":""355.25""}]"
13:26:03.627,1789113363627715000,2626303111167000,Full Data,8,862237,355.15,80,13:26:03,421.22,8496540,150480,113060,780120,"[{""bid_quantity"":40,""ask_quantity"":160,""bid_orders"":2,""ask_orders"":5,""bid_price"":""354.25"",""ask_price"":""355.10""},{""bid_quantity"":80,""ask_quantity"":160,""bid_orders"":3,""ask_orders"":5,""bid_price"":""354.20"",""ask_price"":""355.15""},{""bid_quantity"":140,""ask_quantity"":140,""bid_orders"":4,""ask_orders"":4,""bid_price"":""354.15"",""ask_price"":""355.20""},{""bid_quantity"":80,""ask_quantity"":120,""bid_orders"":4,""ask_orders"":4,""bid_price"":""354.10"",""ask_price"":""355.25""},{""bid_quantity"":60,""ask_quantity"":320,""bid_orders"":3,""ask_orders"":6,""bid_price"":""354.05"",""ask_price"":""355.30""}]"
13:26:03.628,1789113363628122900,2626303111574700,Full Data,8,866580,569.75,40,13:26:03,509.71,6134360,36380,76320,280840,"[{""bid_quantity"":60,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":3,""bid_price"":""569.45"",""ask_price"":""570.85""},{""bid_quantity"":80,""ask_quantity"":120,""bid_orders"":4,""ask_orders"":4,""bid_price"":""569.35"",""ask_price"":""570.90""},{""bid_quantity"":80,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":4,""bid_price"":""569.30"",""ask_price"":""570.95""},{""bid_quantity"":60,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":3,""bid_price"":""569.25"",""ask_price"":""571.00""},{""bid_quantity"":40,""ask_quantity"":100,""bid_orders"":2,""ask_orders"":4,""bid_price"":""569.20"",""ask_price"":""571.05""}]"
13:26:03.637,1789113363637141100,2626303120593000,Full Data,8,869699,631.00,140,13:26:01,549.28,7006120,34820,41980,354260,"[{""bid_quantity"":20,""ask_quantity"":60,""bid_orders"":1,""ask_orders"":3,""bid_price"":""630.75"",""ask_price"":""631.95""},{""bid_quantity"":60,""ask_quantity"":240,""bid_orders"":3,""ask_orders"":7,""bid_price"":""630.30"",""ask_price"":""632.00""},{""bid_quantity"":240,""ask_quantity"":140,""bid_orders"":5,""ask_orders"":4,""bid_price"":""630.10"",""ask_price"":""632.15""},{""bid_quantity"":100,""ask_quantity"":80,""bid_orders"":3,""ask_orders"":3,""bid_price"":""630.05"",""ask_price"":""632.20""},{""bid_quantity"":140,""ask_quantity"":120,""bid_orders"":1,""ask_orders"":4,""bid_price"":""630.00"",""ask_price"":""632.25""}]"
13:26:03.705,1789113363705567600,2626303189019700,Full Data,8,866580,569.75,40,13:26:03,509.71,6134360,36320,76360,280840,"[{""bid_quantity"":120,""ask_quantity"":80,""bid_orders"":6,""ask_orders"":4,""bid_price"":""569.45"",""ask_price"":""570.90""},{""bid_quantity"":20,""ask_quantity"":120,""bid_orders"":1,""ask_orders"":5,""bid_price"":""569.35"",""ask_price"":""570.95""},{""bid_quantity"":80,""ask_quantity"":80,""bid_orders"":4,""ask_orders"":4,""bid_price"":""569.30"",""ask_price"":""571.00""},{""bid_quantity"":80,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":4,""bid_price"":""569.25"",""ask_price"":""571.05""},{""bid_quantity"":40,""ask_quantity"":140,""bid_orders"":2,""ask_orders"":4,""bid_price"":""569.20"",""ask_price"":""571.10""}]"
13:26:03.706,1789113363706999500,2626303190451800,Full Data,8,866869,528.95,20,13:26:00,586.90,1520360,36120,82520,224460,"[{""bid_quantity"":80,""ask_quantity"":60,""bid_orders"":4,""ask_orders"":2,""bid_price"":""528.20"",""ask_price"":""529.45""},{""bid_quantity"":160,""ask_quantity"":60,""bid_orders"":5,""ask_orders"":2,""bid_price"":""528.15"",""ask_price"":""529.50""},{""bid_quantity"":60,""ask_quantity"":160,""bid_orders"":3,""ask_orders"":4,""bid_price"":""528.10"",""ask_price"":""529.75""},{""bid_quantity"":100,""ask_quantity"":180,""bid_orders"":4,""ask_orders"":5,""bid_price"":""528.05"",""ask_price"":""529.80""},{""bid_quantity"":180,""ask_quantity"":160,""bid_orders"":5,""ask_orders"":4,""bid_price"":""528.00"",""ask_price"":""529.85""}]"
13:26:03.717,1789113363717050800,2626303200502800,Full Data,8,869699,631.00,140,13:26:01,549.28,7006120,34680,42020,354260,"[{""bid_quantity"":20,""ask_quantity"":80,""bid_orders"":1,""ask_orders"":2,""bid_price"":""630.75"",""ask_price"":""631.95""},{""bid_quantity"":60,""ask_quantity"":20,""bid_orders"":3,""ask_orders"":1,""bid_price"":""630.30"",""ask_price"":""632.00""},{""bid_quantity"":220,""ask_quantity"":60,""bid_orders"":4,""ask_orders"":3,""bid_price"":""630.10"",""ask_price"":""632.10""},{""bid_quantity"":120,""ask_quantity"":140,""bid_orders"":4,""ask_orders"":4,""bid_price"":""630.05"",""ask_price"":""632.15""},{""bid_quantity"":140,""ask_quantity"":80,""bid_orders"":1,""ask_orders"":3,""bid_price"":""630.00"",""ask_price"":""632.20""}]"
13:26:03.832,1789113363832134400,2626303315586300,Full Data,8,868482,392.10,40,13:26:03,444.86,5786800,90560,96920,588740,"[{""bid_quantity"":80,""ask_quantity"":20,""bid_orders"":4,""ask_orders"":1,""bid_price"":""392.15"",""ask_price"":""393.05""},{""bid_quantity"":160,""ask_quantity"":20,""bid_orders"":5,""ask_orders"":1,""bid_price"":""392.10"",""ask_price"":""393.15""},{""bid_quantity"":80,""ask_quantity"":80,""bid_orders"":4,""ask_orders"":4,""bid_price"":""392.05"",""ask_price"":""393.20""},{""bid_quantity"":200,""ask_quantity"":20,""bid_orders"":6,""ask_orders"":1,""bid_price"":""392.00"",""ask_price"":""393.25""},{""bid_quantity"":100,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":5,""bid_price"":""391.95"",""ask_price"":""393.30""}]"
13:26:03.908,1789113363908125100,2626303391578200,Full Data,8,867178,457.90,20,13:26:03,438.76,5678440,61280,108620,412900,"[{""bid_quantity"":20,""ask_quantity"":20,""bid_orders"":1,""ask_orders"":1,""bid_price"":""457.90"",""ask_price"":""458.30""},{""bid_quantity"":20,""ask_quantity"":100,""bid_orders"":1,""ask_orders"":2,""bid_price"":""457.45"",""ask_price"":""458.40""},{""bid_quantity"":80,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""457.15"",""ask_price"":""458.45""},{""bid_quantity"":100,""ask_quantity"":260,""bid_orders"":4,""ask_orders"":5,""bid_price"":""457.10"",""ask_price"":""458.50""},{""bid_quantity"":40,""ask_quantity"":160,""bid_orders"":1,""ask_orders"":5,""bid_price"":""457.05"",""ask_price"":""458.60""}]"
13:26:03.908,1789113363908863600,2626303392315700,Full Data,8,867901,320.05,160,13:26:02,385.92,7219200,146580,105360,630340,"[{""bid_quantity"":140,""ask_quantity"":40,""bid_orders"":4,""ask_orders"":1,""bid_price"":""319.35"",""ask_price"":""320.05""},{""bid_quantity"":180,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":4,""bid_price"":""319.30"",""ask_price"":""320.20""},{""bid_quantity"":240,""ask_quantity"":80,""bid_orders"":7,""ask_orders"":3,""bid_price"":""319.25"",""ask_price"":""320.25""},{""bid_quantity"":320,""ask_quantity"":80,""bid_orders"":6,""ask_orders"":3,""bid_price"":""319.20"",""ask_price"":""320.30""},{""bid_quantity"":140,""ask_quantity"":300,""bid_orders"":3,""ask_orders"":6,""bid_price"":""319.15"",""ask_price"":""320.35""}]"
13:26:03.909,1789113363909538300,2626303392990500,Full Data,8,867901,320.05,160,13:26:02,385.92,7219200,146620,105360,630340,"[{""bid_quantity"":140,""ask_quantity"":40,""bid_orders"":4,""ask_orders"":1,""bid_price"":""319.35"",""ask_price"":""320.05""},{""bid_quantity"":180,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":4,""bid_price"":""319.30"",""ask_price"":""320.20""},{""bid_quantity"":200,""ask_quantity"":80,""bid_orders"":6,""ask_orders"":3,""bid_price"":""319.25"",""ask_price"":""320.25""},{""bid_quantity"":360,""ask_quantity"":80,""bid_orders"":7,""ask_orders"":3,""bid_price"":""319.20"",""ask_price"":""320.30""},{""bid_quantity"":140,""ask_quantity"":300,""bid_orders"":3,""ask_orders"":6,""bid_price"":""319.15"",""ask_price"":""320.35""}]"
13:26:03.910,1789113363910061200,2626303393513300,Full Data,8,876539,580.95,80,13:26:02,663.00,1038880,36960,76540,181800,"[{""bid_quantity"":60,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""580.90"",""ask_price"":""582.45""},{""bid_quantity"":100,""ask_quantity"":40,""bid_orders"":4,""ask_orders"":2,""bid_price"":""580.85"",""ask_price"":""582.50""},{""bid_quantity"":120,""ask_quantity"":40,""bid_orders"":4,""ask_orders"":2,""bid_price"":""580.80"",""ask_price"":""582.70""},{""bid_quantity"":180,""ask_quantity"":40,""bid_orders"":4,""ask_orders"":2,""bid_price"":""580.75"",""ask_price"":""582.75""},{""bid_quantity"":80,""ask_quantity"":120,""bid_orders"":2,""ask_orders"":3,""bid_price"":""580.70"",""ask_price"":""582.80""}]"
13:26:03.955,1789113363955409300,2626303438861300,Full Data,8,867178,457.90,20,13:26:03,438.76,5678440,61200,108640,412900,"[{""bid_quantity"":20,""ask_quantity"":20,""bid_orders"":1,""ask_orders"":1,""bid_price"":""457.90"",""ask_price"":""458.30""},{""bid_quantity"":20,""ask_quantity"":100,""bid_orders"":1,""ask_orders"":2,""bid_price"":""457.45"",""ask_price"":""458.40""},{""bid_quantity"":80,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""457.15"",""ask_price"":""458.45""},{""bid_quantity"":120,""ask_quantity"":240,""bid_orders"":5,""ask_orders"":4,""bid_price"":""457.10"",""ask_price"":""458.50""},{""bid_quantity"":40,""ask_quantity"":140,""bid_orders"":1,""ask_orders"":4,""bid_price"":""457.05"",""ask_price"":""458.60""}]"
13:26:03.965,1789113363966008600,2626303449460500,Full Data,8,877075,407.35,20,13:26:01,383.15,4471840,47000,94440,398940,"[{""bid_quantity"":20,""ask_quantity"":160,""bid_orders"":1,""ask_orders"":4,""bid_price"":""407.25"",""ask_price"":""407.65""},{""bid_quantity"":140,""ask_quantity"":100,""bid_orders"":3,""ask_orders"":2,""bid_price"":""406.80"",""ask_price"":""407.70""},{""bid_quantity"":160,""ask_quantity"":120,""bid_orders"":5,""ask_orders"":3,""bid_price"":""406.65"",""ask_price"":""407.80""},{""bid_quantity"":40,""ask_quantity"":240,""bid_orders"":2,""ask_orders"":2,""bid_price"":""406.60"",""ask_price"":""407.85""},{""bid_quantity"":80,""ask_quantity"":260,""bid_orders"":3,""ask_orders"":4,""bid_price"":""406.55"",""ask_price"":""407.90""}]"
13:26:04.036,1789113364036186000,2626303519638200,Full Data,8,877075,407.35,20,13:26:01,383.15,4471840,46800,94560,398940,"[{""bid_quantity"":20,""ask_quantity"":120,""bid_orders"":1,""ask_orders"":3,""bid_price"":""407.25"",""ask_price"":""407.65""},{""bid_quantity"":140,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":1,""bid_price"":""406.80"",""ask_price"":""407.70""},{""bid_quantity"":60,""ask_quantity"":100,""bid_orders"":3,""ask_orders"":2,""bid_price"":""406.75"",""ask_price"":""407.80""},{""bid_quantity"":160,""ask_quantity"":240,""bid_orders"":5,""ask_orders"":2,""bid_price"":""406.65"",""ask_price"":""407.85""},{""bid_quantity"":40,""ask_quantity"":220,""bid_orders"":2,""ask_orders"":3,""bid_price"":""406.60"",""ask_price"":""407.90""}]"
13:26:04.229,1789113364229983400,2626303713435500,Ticker Data,0,51,74506.57,,13:26:04,,,,,,
13:26:04.243,1789113364244014300,2626303727466500,Full Data,8,862742,435.20,40,13:26:03,472.45,7651740,129540,121540,798100,"[{""bid_quantity"":1380,""ask_quantity"":60,""bid_orders"":7,""ask_orders"":3,""bid_price"":""434.00"",""ask_price"":""434.90""},{""bid_quantity"":40,""ask_quantity"":140,""bid_orders"":2,""ask_orders"":4,""bid_price"":""433.90"",""ask_price"":""435.00""},{""bid_quantity"":80,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":3,""bid_price"":""433.85"",""ask_price"":""435.05""},{""bid_quantity"":400,""ask_quantity"":120,""bid_orders"":1,""ask_orders"":6,""bid_price"":""433.80"",""ask_price"":""435.10""},{""bid_quantity"":80,""ask_quantity"":80,""bid_orders"":4,""ask_orders"":4,""bid_price"":""433.75"",""ask_price"":""435.15""}]"
13:26:04.244,1789113364244903800,2626303728356200,Full Data,8,862742,434.90,40,13:26:04,472.45,7651780,129400,121660,798100,"[{""bid_quantity"":1460,""ask_quantity"":20,""bid_orders"":8,""ask_orders"":1,""bid_price"":""434.00"",""ask_price"":""434.95""},{""bid_quantity"":80,""ask_quantity"":60,""bid_orders"":4,""ask_orders"":3,""bid_price"":""433.90"",""ask_price"":""435.00""},{""bid_quantity"":80,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":3,""bid_price"":""433.85"",""ask_price"":""435.05""},{""bid_quantity"":400,""ask_quantity"":100,""bid_orders"":1,""ask_orders"":5,""bid_price"":""433.80"",""ask_price"":""435.10""},{""bid_quantity"":80,""ask_quantity"":80,""bid_orders"":4,""ask_orders"":4,""bid_price"":""433.75"",""ask_price"":""435.15""}]"
13:26:04.255,1789113364255089000,2626303738541000,Full Data,8,872420,480.05,20,13:26:00,511.69,3425500,62160,105980,326040,"[{""bid_quantity"":1740,""ask_quantity"":200,""bid_orders"":6,""ask_orders"":5,""bid_price"":""480.00"",""ask_price"":""480.25""},{""bid_quantity"":20,""ask_quantity"":60,""bid_orders"":1,""ask_orders"":2,""bid_price"":""479.45"",""ask_price"":""480.30""},{""bid_quantity"":60,""ask_quantity"":40,""bid_orders"":2,""ask_orders"":2,""bid_price"":""479.40"",""ask_price"":""480.35""},{""bid_quantity"":80,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""479.35"",""ask_price"":""480.40""},{""bid_quantity"":60,""ask_quantity"":20,""bid_orders"":3,""ask_orders"":1,""bid_price"":""479.30"",""ask_price"":""480.45""}]"
13:26:04.269,1789113364269731000,2626303753183100,Full Data,8,862498,694.35,20,13:26:00,590.92,4360200,25460,32440,261380,"[{""bid_quantity"":60,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""694.95"",""ask_price"":""696.80""},{""bid_quantity"":60,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":2,""bid_price"":""694.90"",""ask_price"":""696.95""},{""bid_quantity"":60,""ask_quantity"":100,""bid_orders"":3,""ask_orders"":4,""bid_price"":""694.80"",""ask_price"":""697.00""},{""bid_quantity"":100,""ask_quantity"":240,""bid_orders"":4,""ask_orders"":2,""bid_price"":""694.70"",""ask_price"":""697.10""},{""bid_quantity"":120,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""694.65"",""ask_price"":""697.20""}]"
13:26:04.301,1789113364301740900,2626303785192700,Full Data,8,867703,360.00,200,13:26:01,340.16,4117640,51640,100340,330360,"[{""bid_quantity"":220,""ask_quantity"":300,""bid_orders"":5,""ask_orders"":4,""bid_price"":""359.60"",""ask_price"":""360.55""},{""bid_quantity"":100,""ask_quantity"":140,""bid_orders"":4,""ask_orders"":4,""bid_price"":""359.55"",""ask_price"":""360.60""},{""bid_quantity"":80,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":3,""bid_price"":""359.50"",""ask_price"":""360.65""},{""bid_quantity"":100,""ask_quantity"":100,""bid_orders"":4,""ask_orders"":2,""bid_price"":""359.45"",""ask_price"":""360.70""},{""bid_quantity"":60,""ask_quantity"":200,""bid_orders"":3,""ask_orders"":4,""bid_price"":""359.35"",""ask_price"":""360.75""}]"
13:26:04.312,1789113364312018300,2626303795470500,Full Data,8,862498,694.35,20,13:26:00,590.92,4360200,25580,32440,261380,"[{""bid_quantity"":60,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""694.95"",""ask_price"":""696.80""},{""bid_quantity"":60,""ask_quantity"":60,""bid_orders"":3,""ask_orders"":3,""bid_price"":""694.90"",""ask_price"":""696.90""},{""bid_quantity"":60,""ask_quantity"":80,""bid_orders"":3,""ask_orders"":3,""bid_price"":""694.80"",""ask_price"":""696.95""},{""bid_quantity"":100,""ask_quantity"":140,""bid_orders"":4,""ask_orders"":6,""bid_price"":""694.70"",""ask_price"":""697.00""},{""bid_quantity"":120,""ask_quantity"":240,""bid_orders"":3,""ask_orders"":2,""bid_price"":""694.65"",""ask_price"":""697.10""}]"
13:26:04.449,1789113364449428800,2626303932880800,Full Data,8,875758,512.50,40,13:26:03,476.99,9996720,92820,536080,590000,"[{""bid_quantity"":60,""ask_quantity"":400,""bid_orders"":3,""ask_orders"":1,""bid_price"":""511.50"",""ask_price"":""512.50""},{""bid_quantity"":60,""ask_quantity"":500,""bid_orders"":3,""ask_orders"":1,""bid_price"":""511.40"",""ask_price"":""512.65""},{""bid_quantity"":280,""ask_quantity"":20,""bid_orders"":8,""ask_orders"":1,""bid_price"":""511.35"",""ask_price"":""512.70""},{""bid_quantity"":80,""ask_quantity"":40,""bid_orders"":3,""ask_orders"":2,""bid_price"":""511.30"",""ask_price"":""512.75""},{""bid_quantity"":40,""ask_quantity"":80,""bid_orders"":2,""ask_orders"":3,""bid_price"":""511.25"",""ask_price"":""512.80""}]"
13:26:04.515,1789113364515739000,2626303999191100,Full Data,8,875758,512.50,40,13:26:03,476.99,9996720,92780,532700,590000,"[{""bid_quantity"":80,""ask_quantity"":60,""bid_orders"":1,""ask_orders"":3,""bid_price"":""511.15"",""ask_price"":""511.65""},{""bid_quantity"":60,""ask_quantity"":100,""bid_orders"":2,""ask_orders"":4,""bid_price"":""510.45"",""ask_price"":""511.75""},{""bid_quantity"":40,""ask_quantity"":100,""bid_orders"":2,""ask_orders"":3,""bid_price"":""510.35"",""ask_price"":""511.80""},{""bid_quantity"":200,""ask_quantity"":160,""bid_orders"":3,""ask_orders"":7,""bid_price"":""510.10"",""ask_price"":""511.85""},{""bid_quantity"":20,""ask_quantity"":340,""bid_orders"":1,""ask_orders"":7,""bid_price"":""510.05"",""ask_price"":""511.90""}]"
