local_time,local_ns,monotonic_ns,packet_type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,OI,depth_json
12:39:57.802,1789110597802122000,2623537285574200,Full Data,8,875758,535.20,20,12:39:56,469.54,8488460,118600,547160,611580,"[{""bid_quantity"": 40, ""ask_quantity"": 80, ""bid_orders"": 2, ""ask_orders"": 3, ""bid_price"": ""533.60"", ""ask_price"": ""534.85""}, {""bid_quantity"": 60, ""ask_quantity"": 20, ""bid_orders"": 3, ""ask_orders"": 1, ""bid_price"": ""533.55"", ""ask_price"": ""534.90""}, {""bid_quantity"": 60, ""ask_quantity"": 60, ""bid_orders"": 3, ""ask_orders"": 3, ""bid_price"": ""533.50"", ""ask_price"": ""534.95""}, {""bid_quantity"": 60, ""ask_quantity"": 60, ""bid_orders"": 2, ""ask_orders"": 2, ""bid_price"": ""533.45"", ""ask_price"": ""535.00""}, {""bid_quantity"": 80, ""ask_quantity"": 160, ""bid_orders"": 4, ""ask_orders"": 5, ""bid_price"": ""533.40"", ""ask_price"": ""535.05""}]"
12:39:57.892,1789110597892546500,2623537375998500,Full Data,8,862237,350.75,20,12:39:57,428.74,7625740,169040,112620,796000,"[{""bid_quantity"": 200, ""ask_quantity"": 80, ""bid_orders"": 3, ""ask_orders"": 3, ""bid_price"": ""349.85"", ""ask_price"": ""350.70""}, {""bid_quantity"": 200, ""ask_quantity"": 60, ""bid_orders"": 3, ""ask_orders"": 3, ""bid_price"": ""349.80"", ""ask_price"": ""350.85""}, {""bid_quantity"": 140, ""ask_quantity"": 100, ""bid_orders"": 5, ""ask_orders"": 4, ""bid_price"": ""349.70"", ""ask_price"": ""350.90""}, {""bid_quantity"": 120, ""ask_quantity"": 180, ""bid_orders"": 2, ""ask_orders"": 5, ""bid_price"": ""349.65"", ""ask_price"": ""350.95""}, {""bid_quantity"": 100, ""ask_quantity"": 300, ""bid_orders"": 2, ""ask_orders"": 6, ""bid_price"": ""349.60"", ""ask_price"": ""351.00""}]"
12:39:57.929,1789110597929771000,2623537413223100,Full Data,8,868482,388.65,20,12:39:57,453.49,4949520,99480,99720,589140,"[{""bid_quantity"": 20, ""ask_quantity"": 200, ""bid_orders"": 1, ""ask_orders"": 3, ""bid_price"": ""387.65"", ""ask_price"": ""388.45""}, {""bid_quantity"": 100, ""ask_quantity"": 20, ""bid_orders"": 3, ""ask_orders"": 1, ""bid_price"": ""387.55"", ""ask_price"": ""388.60""}, {""bid_quantity"": 40, ""ask_quantity"": 120, ""bid_orders"": 2, ""ask_orders"": 5, ""bid_price"": ""387.50"", ""ask_price"": ""388.65""}, {""bid_quantity"": 80, ""ask_quantity"": 100, ""bid_orders"": 4, ""ask_orders"": 4, ""bid_price"": ""387.45"", ""ask_price"": ""388.70""}, {""bid_quantity"": 80, ""ask_quantity"": 120, ""bid_orders"": 4, ""ask_orders"": 5, ""bid_price"": ""387.40"", ""ask_price"": ""388.75""}]"
12:39:57.930,1789110597930075500,2623537413527400,Full Data,8,862237,350.75,20,12:39:57,428.74,7625740,169120,112640,796000,"[{""bid_quantity"": 200, ""ask_quantity"": 160, ""bid_orders"": 3, ""ask_orders"": 4, ""bid_price"": ""349.85"", ""ask_price"": ""350.80""}, {""bid_quantity"": 200, ""ask_quantity"": 60, ""bid_orders"": 3, ""ask_orders"": 3, ""bid_price"": ""349.80"", ""ask_price"": ""350.85""}, {""bid_quantity"": 140, ""ask_quantity"": 100, ""bid_orders"": 5, ""ask_orders"": 4, ""bid_price"": ""349.70"", ""ask_price"": ""350.90""}, {""bid_quantity"": 120, ""ask_quantity"": 220, ""bid_orders"": 2, ""ask_orders"": 6, ""bid_price"": ""349.65"", ""ask_price"": ""350.95""}, {""bid_quantity"": 100, ""ask_quantity"": 260, ""bid_orders"": 2, ""ask_orders"": 5, ""bid_price"": ""349.60"", ""ask_price"": ""351.00""}]"
12:39:57.944,1789110597944886800,2623537428338800,Full Data,8,868482,388.65,20,12:39:57,453.49,4949520,99480,99780,589140,"[{""bid_quantity"": 20, ""ask_quantity"": 200, ""bid_orders"": 1, ""ask_orders"": 3, ""bid_price"": ""387.65"", ""ask_price"": ""388.45""}, {""bid_quantity"": 20, ""ask_quantity"": 20, ""bid_orders"": 1, ""ask_orders"": 1, ""bid_price"": ""387.60"", ""ask_price"": ""388.60""}, {""bid_quantity"": 100, ""ask_quantity"": 120, ""bid_orders"": 3, ""ask_orders"": 5, ""bid_price"": ""387.55"", ""ask_price"": ""388.65""}, {""bid_quantity"": 80, ""ask_quantity"": 100, ""bid_orders"": 4, ""ask_orders"": 4, ""bid_price"": ""387.50"", ""ask_price"": ""388.70""}, {""bid_quantity"": 80, ""ask_quantity"": 120, ""bid_orders"": 4, ""ask_orders"": 5, ""bid_price"": ""387.45"", ""ask_price"": ""388.75""}]"
12:39:58.068,1789110598068635400,2623537552087400,Full Data,8,862498,718.40,20,12:39:47,587.07,4217480,24060,36540,264640,"[{""bid_quantity"": 20, ""ask_quantity"": 40, ""bid_orders"": 1, ""ask_orders"": 1, ""bid_price"": ""718.25"", ""ask_price"": ""720.00""}, {""bid_quantity"": 220, ""ask_quantity"": 20, ""bid_orders"": 3, ""ask_orders"": 1, ""bid_price"": ""718.20"", ""ask_price"": ""720.20""}, {""bid_quantity"": 60, ""ask_quantity"": 40, ""bid_orders"": 3, ""ask_orders"": 2, ""bid_price"": ""718.05"", ""ask_price"": ""720.25""}, {""bid_quantity"": 80, ""ask_quantity"": 60, ""bid_orders"": 3, ""ask_orders"": 2, ""bid_price"": ""718.00"", ""ask_price"": ""720.30""}, {""bid_quantity"": 20, ""ask_quantity"": 40, ""bid_orders"": 1, ""ask_orders"": 2, ""bid_price"": ""717.95"", ""ask_price"": ""720.35""}]"
12:39:58.068,1789110598068913500,2623537552365500,Full Data,8,867703,378.15,20,12:39:53,335.88,3549140,45680,105180,304160,"[{""bid_quantity"": 100, ""ask_quantity"": 20, ""bid_orders"": 4, ""ask_orders"": 1, ""bid_price"": ""378.85"", ""ask_price"": ""379.50""}, {""bid_quantity"": 80, ""ask_quantity"": 60, ""bid_orders"": 3, ""ask_orders"": 2, ""bid_price"": ""378.80"", ""ask_price"": ""379.85""}, {""bid_quantity"": 260, ""ask_quantity"": 60, ""bid_orders"": 6, ""ask_orders"": 2, ""bid_price"": ""378.75"", ""ask_price"": ""379.90""}, {""bid_quantity"": 60, ""ask_quantity"": 180, ""bid_orders"": 3, ""ask_orders"": 5, ""bid_price"": ""378.70"", ""ask_price"": ""379.95""}, {""bid_quantity"": 80, ""ask_quantity"": 60, ""bid_orders"": 4, ""ask_orders"": 2, ""bid_price"": ""378.65"", ""ask_price"": ""380.00""}]"
12:39:58.085,1789110598085118200,2623537568570400,Full Data,8,872420,473.85,20,12:39:55,524.13,2517180,66760,96140,333920,"[{""bid_quantity"": 40, ""ask_quantity"": 60, ""bid_orders"": 2, ""ask_orders"": 3, ""bid_price"": ""473.50"", ""ask_price"": ""474.65""}, {""bid_quantity"": 60, ""ask_quantity"": 160, ""bid_orders"": 2, ""ask_orders"": 5, ""bid_price"": ""473.45"", ""ask_price"": ""474.70""}, {""bid_quantity"": 120, ""ask_quantity"": 60, ""bid_orders"": 3, ""ask_orders"": 3, ""bid_price"": ""473.40"", ""ask_price"": ""474.75""}, {""bid_quantity"": 180, ""ask_quantity"": 320, ""bid_orders"": 7, ""ask_orders"": 7, ""bid_price"": ""473.30"", ""ask_price"": ""475.00""}, {""bid_quantity"": 160, ""ask_quantity"": 420, ""bid_orders"": 5, ""ask_orders"": 8, ""bid_price"": ""473.25"", ""ask_price"": ""475.05""}]"
12:39:58.101,1789110598101973900,2623537585425800,Full Data,8,862498,718.40,20,12:39:47,587.07,4217480,23880,36800,264640,"[{""bid_quantity"": 100, ""ask_quantity"": 40, ""bid_orders"": 5, ""ask_orders"": 1, ""bid_price"": ""718.45"", ""ask_price"": ""720.15""}, {""bid_quantity"": 80, ""ask_quantity"": 20, ""bid_orders"": 3, ""ask_orders"": 1, ""bid_price"": ""718.40"", ""ask_price"": ""720.25""}, {""bid_quantity"": 60, ""ask_quantity"": 40, ""bid_orders"": 3, ""ask_orders"": 1, ""bid_price"": ""718.30"", ""ask_price"": ""720.30""}, {""bid_quantity"": 60, ""ask_quantity"": 40, ""bid_orders"": 3, ""ask_orders"": 2, ""bid_price"": ""718.25"", ""ask_price"": ""720.70""}, {""bid_quantity"": 300, ""ask_quantity"": 80, ""bid_orders"": 4, ""ask_orders"": 2, ""bid_price"": ""718.20"", ""ask_price"": ""721.05""}]"
12:39:58.114,1789110598114311500,2623537597764000,Full Data,8,867703,378.15,20,12:39:53,335.88,3549140,45740,105320,304160,"[{""bid_quantity"": 140, ""ask_quantity"": 20, ""bid_orders"": 5, ""ask_orders"": 1, ""bid_price"": ""378.95"", ""ask_price"": ""379.50""}, {""bid_quantity"": 80, ""ask_quantity"": 100, ""bid_orders"": 3, ""ask_orders"": 4, ""bid_price"": ""378.90"", ""ask_price"": ""380.05""}, {""bid_quantity"": 100, ""ask_quantity"": 160, ""bid_orders"": 4, ""ask_orders"": 4, ""bid_price"": ""378.85"", ""ask_price"": ""380.10""}, {""bid_quantity"": 260, ""ask_quantity"": 100, ""bid_orders"": 6, ""ask_orders"": 4, ""bid_price"": ""378.80"", ""ask_price"": ""380.15""}, {""bid_quantity"": 260, ""ask_quantity"": 140, ""bid_orders"": 6, ""ask_orders"": 3, ""bid_price"": ""378.75"", ""ask_price"": ""380.20""}]"
